language,age_group,education_level,exposure_type,daily_practice_hours,spoken_at_home,reading_score,writing_score,speaking_score,overall_proficiency
Tamil,Teenager (13-19),Graduate,Native,11,Yes,100.0,87.9,97.1,94.9
Bengali,Child (6-12),Secondary,Media + School,4,Yes,82.4,95.9,88.7,89.0
Kannada,Child (6-12),Postgraduate,School Only,14,Yes,100.0,95.9,100.0,98.6
Bengali,Teenager (13-19),Graduate,Immersive,10,Yes,100.0,100.0,100.0,100.0
Bengali,Adult (20-35),Secondary,Media + School,4,No,73.9,83.5,91.9,82.7
English,Child (6-12),Postgraduate,School Only,2,Yes,96.3,81.7,99.1,92.0
Kannada,Adult (20-35),Graduate,Native,4,No,98.0,85.1,100.0,94.1
Kannada,Teenager (13-19),Graduate,School Only,11,No,85.7,76.4,84.8,82.2
Kannada,Teenager (13-19),No Formal,Native,1,No,54.1,42.3,38.8,45.4
Bengali,Senior (36+),No Formal,School Only,3,Yes,57.7,37.0,53.7,49.3
Tamil,Child (6-12),Postgraduate,Media + School,5,Yes,100.0,97.6,100.0,99.2
Kannada,Teenager (13-19),Graduate,Native,0,Yes,100.0,94.6,100.0,98.1
Marathi,Senior (36+),Primary,Media + School,9,No,55.4,69.7,69.9,64.8
Bengali,Child (6-12),No Formal,Media + School,3,Yes,53.8,61.4,45.2,53.9
English,Teenager (13-19),Postgraduate,Native,5,Yes,100.0,91.2,100.0,96.9
Tamil,Teenager (13-19),Graduate,Native,8,No,95.2,93.4,99.9,96.0
Marathi,Child (6-12),Graduate,Immersive,13,No,100.0,95.7,100.0,98.5
Marathi,Child (6-12),Primary,Immersive,10,No,84.5,65.6,74.2,74.8
English,Child (6-12),Postgraduate,Immersive,10,No,100.0,98.8,100.0,99.6
Tamil,Teenager (13-19),Graduate,Media + School,12,No,100.0,94.2,100.0,98.0
Bengali,Teenager (13-19),No Formal,Media + School,1,No,27.2,41.7,47.0,38.2
Hindi,Senior (36+),Primary,Immersive,10,Yes,83.4,82.9,64.8,77.6
Tamil,Adult (20-35),Postgraduate,Media + School,6,No,100.0,95.2,89.9,95.3
English,Child (6-12),Primary,Media + School,5,Yes,71.9,61.0,52.4,62.2
Marathi,Teenager (13-19),No Formal,Native,1,Yes,46.7,62.7,69.1,59.0
Bengali,Teenager (13-19),Postgraduate,Native,7,Yes,100.0,100.0,100.0,100.0
